date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:50:04	447/447	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Apr%202023%2000:50:07%20GMT	https://www.moonreading.com/robots.txt		(from )
02:50:04	5527/5527	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202023%2000:50:07%20GMT	https://www.moonreading.com/start/1/?source=tkmbatia	C:/Users/i/Desktop/vasco/www.moonreading.com/start/1/index38ca.html	(from )
02:50:04	1190/1190	---M--	200	added ('OK')	image/png	etag:%225d723c55-4a6%22	https://www.moonreading.com/img/moon-icon-16.png	C:/Users/i/Desktop/vasco/www.moonreading.com/img/moon-icon-16.png	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:04	1846/1846	---MCZ	200	added ('OK')	text/css	etag:W/%226383bc54-736%22	https://www.moonreading.com/css/fonts.css	C:/Users/i/Desktop/vasco/www.moonreading.com/css/fonts.css	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:05	4021/4021	---MCZ	200	added ('OK')	text/css	etag:W/%225d723c50-fb5%22	https://www.moonreading.com/css/bootstrap-reboot.min.css	C:/Users/i/Desktop/vasco/www.moonreading.com/css/bootstrap-reboot.min.css	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:05	10860/10860	---MCZ	200	added ('OK')	text/css	etag:W/%226383cbcd-2a6c%22	https://www.moonreading.com/css/clean.css	C:/Users/i/Desktop/vasco/www.moonreading.com/css/clean.css	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:06	501412/501412	---MCZ	200	added ('OK')	text/css	etag:W/%22624214b7-7a6a4%22	https://www.moonreading.com/css/icons.css	C:/Users/i/Desktop/vasco/www.moonreading.com/css/icons.css	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:06	109663/109663	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Apr%202023%2000:50:09%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/i/Desktop/vasco/connect.facebook.net/en_US/fbevents.js	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:07	37864/37864	---M--	200	added ('OK')	image/png	etag:%2260ba88de-93e8%22	https://www.moonreading.com/img/moon-reading-text-logo.png	C:/Users/i/Desktop/vasco/www.moonreading.com/img/moon-reading-text-logo.png	(from https://www.moonreading.com/start/1/?source=tkmbatia)
02:50:08	5434/5434	---MCZ	200	added ('OK')	application/javascript	etag:W/%226151f58e-153a%22	https://www.moonreading.com/js/jstz-1.0.4.min.js	C:/Users/i/Desktop/vasco/www.moonreading.com/js/jstz-1.0.4.min.js	(from https://www.moonreading.com/start/1/?source=tkmbatia)
